Description,Package,Value,Qty,Link
OST CONNECTOR,2PIN OST,FEMALE,5,http://www.digikey.com/product-detail/en/OSTTJ0231530/ED2875-ND/1588450
OST CONNECTOR,4PIN OST,FEMALE,1,http://www.digikey.com/product-detail/en/OSTTJ0431530/ED2877-ND/1588452
FUSE HOLDER ,IN WIRE,5_20mm Fuses,2,http://www.digikey.com/product-detail/en/01500274Z/F1468-ND/29453
SENSE RESISTOR,R2512,10mOhm,1,http://www.digikey.com/product-detail/en/LRMAM2512-R01FT4/985-1553-1-ND/4021264
SENSE RESISTOR,R2512,25mOhm,1,http://www.digikey.com/product-detail/en/CRA2512-FZ-R025ELF/CRA2512-FZ-R025ELFCT-ND/3437771
SENSE RESISTOR,R2512,1mOhm,1,http://www.digikey.com/product-detail/en/CRE2512-FZ-R001E-2/CRE2512-FZ-R001E-2CT-ND/4900085
SENSE RESISTOR,R2512,100mOhm,1,http://www.digikey.com/product-detail/en/1622825-9/A103652CT-ND/2728573
SENSE RESISTOR,R2512,200mOhm,1,http://www.digikey.com/product-detail/en/73L7R20J/73L7R20JCT-ND/1543510
SENSE RESISTOR,R2512,50mOhm,2,http://www.digikey.com/product-detail/en/LRMAM2512-R05FT4/985-1555-1-ND/4021268
BARREL CONNECTOR,PANEL MOUNT,5A MAX,1,http://www.digikey.com/product-detail/en/PJ-038AH/CP-038AH-ND/1644551
IR LED,THROUGH HOLE,940NM,6,http://www.digikey.com/product-detail/en/OED-EL-1L2/67-1001-ND/270797
IR PHOTO DIODE,THOUGH HOLE,940NM,6,http://www.digikey.com/product-detail/en/PD204-6B/1080-1139-ND/2675630